customerid,gender,senior_citizen,partner,dependents,tenure_months,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,tenure_group,charges_tier,churn_display
6432-TWQLB,Male,No,True,False,5,5,True,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,True,Electronic check,85.4,401.1,Yes,1,0-6 mo,High ($70+),Churned
4484-GLZOU,Female,No,True,False,52,52,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,105.05,5624.85,Yes,1,49-72 mo,High ($70+),Churned
9512-UIBFX,Male,No,True,False,18,18,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,False,Mailed check,95.15,1779.95,Yes,1,13-24 mo,High ($70+),Churned
5583-SXDAG,Male,No,True,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Electronic check,70.0,70.0,Yes,1,0-6 mo,Medium ($35-70),Churned
3488-PGMQJ,Male,Yes,False,False,8,8,True,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,74.5,606.55,Yes,1,7-12 mo,High ($70+),Churned
3580-REOAC,Male,No,False,False,10,10,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Credit card (automatic),44.85,435.4,Yes,1,7-12 mo,Medium ($35-70),Churned
7534-BFESC,Male,Yes,False,False,24,24,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,76.1,1712.7,Yes,1,13-24 mo,High ($70+),Churned
6390-DSAZX,Female,No,False,False,1,1,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Mailed check,73.6,73.6,Yes,1,0-6 mo,High ($70+),Churned
8098-LLAZX,Female,Yes,False,False,4,4,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,95.45,396.1,Yes,1,0-6 mo,High ($70+),Churned
0265-EDXBD,Male,Yes,True,False,32,32,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.9,2303.35,Yes,1,25-48 mo,High ($70+),Churned
7563-BIUPC,Male,No,False,False,5,5,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,80.6,415.55,Yes,1,0-6 mo,High ($70+),Churned
2321-OMBXY,Female,No,True,False,38,38,True,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,False,Credit card (automatic),80.3,3058.65,Yes,1,25-48 mo,High ($70+),Churned
2840-XANRC,Male,Yes,True,False,24,24,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,93.15,2231.05,Yes,1,13-24 mo,High ($70+),Churned
5020-ZSTTY,Female,Yes,False,False,54,54,True,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,False,Bank transfer (automatic),82.45,4350.1,Yes,1,49-72 mo,High ($70+),Churned
5804-LEPIM,Female,Yes,False,False,2,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.35,139.05,Yes,1,0-6 mo,High ($70+),Churned
0122-OAHPZ,Female,No,False,False,7,7,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,73.85,511.25,Yes,1,7-12 mo,High ($70+),Churned
2868-SNELZ,Female,No,False,False,2,2,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,False,Mailed check,80.6,155.8,Yes,1,0-6 mo,High ($70+),Churned
4322-RCYMT,Male,No,True,False,68,68,True,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,True,Bank transfer (automatic),75.8,5293.95,Yes,1,49-72 mo,High ($70+),Churned
6680-NENYN,Female,No,False,False,43,43,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,True,Electronic check,104.6,4759.85,Yes,1,25-48 mo,High ($70+),Churned
1343-EHPYB,Male,No,True,False,63,63,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,103.4,6603.0,Yes,1,49-72 mo,High ($70+),Churned
2034-GDRCN,Female,No,False,False,2,2,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,90.4,168.2,Yes,1,0-6 mo,High ($70+),Churned
0219-YTZUE,Male,No,True,False,4,4,True,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),84.8,371.9,Yes,1,0-6 mo,High ($70+),Churned
0623-IIHUG,Female,Yes,False,False,21,21,False,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,True,Electronic check,41.9,840.1,Yes,1,13-24 mo,Medium ($35-70),Churned
4572-DVCGN,Female,No,False,False,10,10,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Bank transfer (automatic),80.25,846.0,Yes,1,7-12 mo,High ($70+),Churned
9057-MSWCO,Male,Yes,True,False,27,27,False,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,False,Credit card (automatic),30.75,805.1,Yes,1,25-48 mo,Low ($0-35),Churned
1010-DIAUQ,Male,No,False,False,5,5,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,False,Bank transfer (automatic),96.5,492.55,Yes,1,0-6 mo,High ($70+),Churned
0259-GBZSH,Male,No,False,False,2,2,True,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,85.65,181.5,Yes,1,0-6 mo,High ($70+),Churned
9601-BRXPO,Female,No,True,False,25,25,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Bank transfer (automatic),104.95,2566.5,Yes,1,25-48 mo,High ($70+),Churned
6905-NIQIN,Male,No,False,False,1,1,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,False,Mailed check,50.65,50.65,Yes,1,0-6 mo,Medium ($35-70),Churned
5167-ZFFMM,Male,No,False,False,1,1,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Credit card (automatic),90.85,90.85,Yes,1,0-6 mo,High ($70+),Churned
4895-TMWIR,Male,Yes,True,False,11,11,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.95,214.75,Yes,1,7-12 mo,Low ($0-35),Churned
0533-BNWKF,Female,Yes,True,False,55,55,True,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,True,Electronic check,85.45,4874.7,Yes,1,49-72 mo,High ($70+),Churned
6599-CEBNN,Female,No,False,False,34,34,True,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),73.95,2524.45,Yes,1,25-48 mo,High ($70+),Churned
0979-PHULV,Male,No,True,False,69,69,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.45,7007.6,Yes,1,49-72 mo,High ($70+),Churned
4800-VHZKI,Female,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,19.9,19.9,Yes,1,0-6 mo,Low ($0-35),Churned
7989-CHGTL,Male,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,19.6,19.6,Yes,1,0-6 mo,Low ($0-35),Churned
0334-GDDSO,Male,Yes,False,False,3,3,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,81.35,233.7,Yes,1,0-6 mo,High ($70+),Churned
0578-SKVMF,Female,No,True,False,22,22,True,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,False,Electronic check,83.3,1845.9,Yes,1,13-24 mo,High ($70+),Churned
5564-NEMQO,Female,Yes,False,False,1,1,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),75.3,75.3,Yes,1,0-6 mo,High ($70+),Churned
9063-ZGTUY,Female,No,True,False,61,61,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,19.4,1182.55,Yes,1,49-72 mo,Low ($0-35),Churned
2957-LOLHO,Male,No,False,False,12,12,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),45.4,518.9,Yes,1,7-12 mo,Medium ($35-70),Churned
7752-XUSCI,Female,No,False,False,60,60,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,105.9,6396.45,Yes,1,49-72 mo,High ($70+),Churned
4110-PFEUZ,Female,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Mailed check,69.55,69.55,Yes,1,0-6 mo,Medium ($35-70),Churned
0256-LTHVJ,Female,No,True,False,28,28,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,81.05,2227.1,Yes,1,25-48 mo,High ($70+),Churned
0880-TKATG,Male,No,True,False,4,4,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,False,Electronic check,101.15,385.9,Yes,1,0-6 mo,High ($70+),Churned
3811-VBYBZ,Male,No,False,False,7,7,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,99.8,673.25,Yes,1,7-12 mo,High ($70+),Churned
4640-UHDOS,Female,No,True,False,13,13,True,No,DSL,No,No,No,No,No,Yes,Month-to-month,False,Electronic check,55.95,734.35,Yes,1,13-24 mo,Medium ($35-70),Churned
3583-EKAPL,Male,No,False,False,1,1,True,No,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,55.0,55.0,Yes,1,0-6 mo,Medium ($35-70),Churned
9399-APLBT,Female,No,True,False,1,1,True,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,74.7,74.7,Yes,1,0-6 mo,High ($70+),Churned
2359-KMGLI,Male,No,False,False,24,24,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,80.25,1861.5,Yes,1,13-24 mo,High ($70+),Churned
0306-JAELE,Male,No,False,False,5,5,True,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,96.1,453.4,Yes,1,0-6 mo,High ($70+),Churned
6227-HWPWX,Female,No,False,False,15,15,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),69.0,994.8,Yes,1,13-24 mo,Medium ($35-70),Churned
2684-EIWEO,Female,Yes,False,False,30,30,True,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,False,Credit card (automatic),91.7,2758.15,Yes,1,25-48 mo,High ($70+),Churned
0447-BEMNG,Female,No,True,False,48,48,False,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,True,Bank transfer (automatic),45.3,2145.0,Yes,1,25-48 mo,Medium ($35-70),Churned
5949-XIKAE,Female,No,True,False,8,8,True,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,83.55,680.05,Yes,1,7-12 mo,High ($70+),Churned
8372-JUXUI,Male,No,False,False,1,1,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.35,74.35,Yes,1,0-6 mo,High ($70+),Churned
0388-EOPEX,Female,No,True,False,2,2,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,74.4,139.4,Yes,1,0-6 mo,High ($70+),Churned
8205-OTCHB,Male,No,False,False,22,22,False,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,True,Bank transfer (automatic),43.75,903.6,Yes,1,13-24 mo,Medium ($35-70),Churned
6235-VDHOM,Female,Yes,False,False,5,5,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,False,Electronic check,28.45,131.05,Yes,1,0-6 mo,Low ($0-35),Churned
7783-YKGDV,Female,No,False,False,12,12,True,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,True,Bank transfer (automatic),99.7,1238.45,Yes,1,7-12 mo,High ($70+),Churned
5609-CEBID,Female,Yes,False,False,20,20,True,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,94.1,1782.4,Yes,1,13-24 mo,High ($70+),Churned
7218-HKQFK,Male,No,True,False,2,2,True,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,94.2,167.5,Yes,1,0-6 mo,High ($70+),Churned
4636-QRJKY,Female,No,True,False,6,6,True,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,True,Electronic check,80.5,502.85,Yes,1,0-6 mo,High ($70+),Churned
5956-VKDTT,Female,Yes,True,False,5,5,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.35,334.8,Yes,1,0-6 mo,High ($70+),Churned
9412-GHEEC,Male,No,False,False,40,40,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,False,Bank transfer (automatic),104.8,4131.95,Yes,1,25-48 mo,High ($70+),Churned
0257-ZESQC,Female,Yes,True,False,27,27,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),75.2,1929.35,Yes,1,25-48 mo,High ($70+),Churned
6825-UYPFK,Female,No,False,False,23,23,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),75.6,1758.6,Yes,1,13-24 mo,High ($70+),Churned
8397-MVTAZ,Male,No,True,False,34,34,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,100.05,3480.0,Yes,1,25-48 mo,High ($70+),Churned
9282-IZGQK,Female,No,False,False,1,1,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,85.0,85.0,Yes,1,0-6 mo,High ($70+),Churned
1342-JPNKI,Male,No,False,False,10,10,True,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),86.05,834.1,Yes,1,7-12 mo,High ($70+),Churned
